Артикул,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.01.2021,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.04.2022,01.05.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023
635,6,68,29,12,,,2,6,8,6,16,34,6,4,24,,,,14,6,30,,,,,,6,6,6,16,16,6,12,18,6,,,,6
636,,1,3,,,,,,7,,,1,,,4,,,,,2,3,,,,,,4,,,,,,12,,,,2,4,
637,,16,12,,5,4,12,31,52,12,5,,,5,16,25,4,6,26,6,32,19,,,,12,50,34,6,,17,12,21,6,,25,6,6,12
638,2,28,20,12,13,12,14,43,72,20,,6,12,5,16,66,22,43,42,14,54,19,,,,20,76,67,24,6,5,30,18,14,,50,,12,30
639,12,19,,12,8,28,18,,36,6,,12,12,,23,27,5,33,48,,74,12,,,,6,40,16,2,6,16,,16,,20,30,1,20,12
640,,38,14,2,12,,24,52,126,36,,8,,24,,33,,,8,28,54,42,,24,,15,76,,,,4,,38,12,16,66,,6,106
641,1,,,,,,2,,10,4,,,4,,,,,,,4,34,,,,,,,,,15,,2,,82,23,6,,,
642,,,,,,1,,4,8,4,,,,,,4,4,,,4,,,,,,,,,,,6,,2,,,8,4,2,4
643,,,,,,,,8,18,,,,,,,8,8,,,8,,,,,,,,,,,12,,,,,,9,6,8
644,,,,,,,,,5,1,,,,,2,4,2,,1,2,,1,,,,,,,,,3,,1,,,,2,1,2
645,,4,12,,,,,12,24,,,12,,,,,,,,6,24,,,,,,12,,,,,10,6,,,24,,12,68
646,2,,2,2,,2,4,6,9,6,1,7,2,,7,2,,,,,,,1,,,,4,,,,,,3,,3,12,,3,5
647,,54,14,4,,7,6,21,20,12,,45,3,10,10,25,,,5,,24,,,,,,8,,,,,16,14,4,7,3,6,8,7
648,,,,,,,,6,6,,,,,,16,,,,,2,10,,,11,,12,1,2,,,,,4,,,3,4,5,
649,,,,,,,,,,,,,,,,8,,,,,,,,,,,2,,,,,,,6,,4,,,
650,4,,,4,,8,6,8,10,12,1,8,4,,6,,,,,,,,1,,,,10,1,,,,,8,,,40,,4,2
651,,4,,,,2,,12,44,14,,6,,,,6,,,8,6,,,,,,2,12,,,,,,1,14,,18,8,14,26
652,,24,23,14,3,,,29,30,24,,,,,22,,6,,6,6,40,16,12,12,6,,9,9,,,,,42,4,,6,20,6,6
653,,4,16,14,,,,49,96,14,,,,,42,,44,,,9,84,32,,64,16,,4,32,,,,,28,14,,6,12,6,34
654,1,,,1,,2,,,1,2,,,,,1,1,2,4,,,1,2,,,3,,,,,,,,1,4,1,2,,1,
655,2,1,1,,,1,1,,2,,1,,,,2,3,1,2,2,,1,1,1,,,1,1,4,1,,1,,3,3,5,2,2,,2
656,4,,5,2,,1,6,6,12,,,6,1,,7,6,,8,,2,6,2,,,,2,6,1,4,,1,,5,3,2,3,3,8,15
657,,,,,,,,,10,3,8,10,,,,,,8,10,,,,,,,,,,,,9,,2,,10,24,,,
658,4,83,52,1,3,5,6,72,55,89,,44,10,,10,21,3,13,21,93,181,11,,12,,1,19,,,,,,10,5,1,6,10,35,33
659,,51,,,,,,,2,,,25,,,,2,,,2,,2,,,,,,4,,,,,,,,,4,6,4,
660,,,,,,,33,,79,42,3,,,,,,,24,44,4,108,108,12,,28,,12,,,,56,12,22,108,1,31,1,,
661,,2,7,1,4,5,1,4,12,5,2,,1,,6,5,,,,2,4,4,1,2,,,2,2,7,,,2,5,6,4,2,5,1,9
662,,4,4,3,5,,,6,6,2,2,2,1,,,13,8,,,2,6,9,3,,,1,5,7,3,3,5,,3,3,,1,,6,2
663,,4,2,3,,1,1,4,2,,1,1,,1,1,2,,1,,1,6,4,,3,,,3,1,1,,1,,3,,,,3,,2
664,,,,,,,56,,42,46,9,33,16,,,,72,32,10,10,84,76,24,20,4,,,,,2,42,6,78,51,-19,87,,9,
665,4,67,15,,,5,5,20,56,46,1,44,9,,5,12,3,,19,11,63,13,,12,,1,10,,,,4,,7,8,,8,,28,36
666,4,63,6,,,,4,21,46,17,1,45,9,,6,12,,,5,10,54,13,,,,1,5,,,,4,2,2,6,3,8,,10,4
667,1,,2,,1,,,1,3,,,1,,,,4,3,,,,3,5,2,,,,,4,1,1,2,,1,,,,,1,2
668,1,,8,1,4,,,2,8,4,,3,,,,12,6,,,2,7,8,2,,,1,4,10,2,2,4,,2,,,,,1,2
669,1,1,1,,2,1,1,,4,,,1,,,,,,3,1,,3,,,,1,,1,,,2,,1,1,1,1,2,,,1
670,,1,1,,,,,,5,5,1,,1,,,3,,,,2,,,,,,,1,,2,,1,1,2,2,,,,,
671,,20,2,3,,1,,,3,6,1,20,,,3,4,,1,,,16,,,,,,,,,,,,,5,1,,5,,
672,,4,28,,,6,1,14,22,,,14,4,,10,4,2,2,18,4,20,6,,,,,8,6,,,,1,7,20,12,6,4,8,2
673,,89,139,103,2,35,30,153,244,334,15,15,85,2,248,20,,149,33,20,140,62,31,44,4,3,56,65,14,10,10,,10,25,,11,,74,219
674,10,,72,,,40,120,111,55,126,20,8,31,9,4,51,,10,19,6,94,97,,41,,,4,34,,,11,70,51,9,,,22,,25
675,2,4,2,1,,2,,4,1,,,,2,,1,2,,,,,3,,,,,,2,,,,,,7,2,,3,,,
676,,,18,7,20,10,16,34,55,67,,20,7,,16,6,2,,44,6,145,1,,,,,10,34,10,,,,,,,,,36,50
677,232,,382,386,,,296,830,2020,832,230,12,58,4,1016,150,10,600,520,88,938,126,,170,232,60,996,264,2,,544,,,176,,100,,15,
678,2,3,6,1,,4,2,7,5,5,,4,2,,4,1,1,1,3,6,10,2,,,,,6,3,,,,1,5,3,4,3,,4,
679,2,4,14,1,,,2,10,13,8,,5,4,,9,,,,,,4,2,,,,,6,,,2,,1,2,3,,1,,4,
680,,,,,,,1,,,1,,1,,,,,,,8,2,,4,-4,,,,,,,,,10,2,4,,,,5,
681,,,5,2,,,,5,,5,1,,,16,,31,2,,,2,,,,,,20,1,,,4,,,,1,,,,,
682,,,5,,,,,,,7,4,,,16,,30,,,,5,,,,,,,1,2,,,,,,8,,,,,
683,,14,1,-7,,,2,2,5,3,,,,,3,3,,,2,2,2,1,3,,,,,,,1,,1,1,,5,,7,,
684,,3,2,4,,,,2,,4,,4,,,,5,2,,2,4,10,2,,2,,,,1,,1,2,3,,5,8,,3,,2
685,,2,,5,1,,1,,10,,,,,,1,2,,,2,,5,4,,,,,8,,,,,,1,9,,,1,,
686,,7,,4,,3,,1,6,,,,,,1,,,,2,,2,5,,,,,6,,,,,,1,8,,1,,1,
687,,,,,,,,,24,,,,,,5,,,,,,16,,,,2,,,,,,18,,8,37,,,,,
688,,6,,,,,,,6,6,,,,,,8,2,,,,,,,,,,,38,,,,,,1,1,,,,
689,,,,,,,4,,34,,,,,,,,,2,1,48,,50,,,,,,,,,54,28,9,,50,18,100,,
690,,,,,,,28,,34,,,,,,,,,48,5,32,,61,,,,,,,,,72,24,9,24,30,,8,,
691,4,222,50,36,7,28,,186,219,178,9,327,,5,147,,1,2,25,6,225,,,67,,,17,13,1,,,70,162,30,11,30,34,45,16
692,,30,10,,,,,,6,10,,10,16,10,2,,2,,,8,2,4,,,,,,,2,,,,12,,,6,,10,
693,,,,,,,,3,,,,,,,,,,,,,,32,,,,,,,,,,2,1,12,,,6,,
694,,2,4,,,,,,3,1,,,4,,2,,1,,,2,2,2,,,2,,,,,,,,8,-1,,,1,2,
695,,21,,2,,,,,6,7,,2,,2,1,,1,,,6,4,2,,,,,3,2,,,,,6,2,,,,6,
696,,,,,,,16,,,12,31,10,5,,,,,,,,,,,,,,,,,,,,,16,16,33,,,
697,,,,,,,76,49,44,33,32,33,16,,,,36,16,5,24,76,88,17,,36,,16,,,,12,63,8,137,10,1,22,,
698,,,,,,,76,49,44,33,32,33,16,,,,36,16,53,,76,88,7,,36,,16,,,,12,75,8,49,10,,,,
699,,720,153,41,,80,,265,105,324,113,272,10,,277,94,71,57,65,30,256,160,,68,,10,25,123,,20,,52,283,118,15,60,19,130,294
700,,,,15,1,,2,,,2,1,2,1,2,,,2,,,3,,1,,,2,,1,-1,1,,17,,1,37,,,,,
701,20,,12,,,,,,40,,,19,,,,,,,4,,21,6,,8,,,,,5,,8,,,,5,,,,
702,10,,,,,,20,4,22,36,6,,6,,,,,14,20,,45,61,5,10,,,6,2,,,4,4,,16,,9,,3,
703,,4,,,,4,,,,4,,,,,,,,,,4,,,,,,,,,,2,,,,,31,16,,4,
704,,,,,,,6,,,12,22,16,,,,,,,16,,34,15,,,,,,,,,14,16,,,2,18,,,
705,6,,56,,,,,,16,6,,,40,,42,15,,,,7,16,,4,4,,,5,18,6,,,,,,,,12,18,
706,,,,,,2,,12,4,,2,,,8,,,,,10,,4,6,8,,,,,2,,,,,6,,16,,,,
707,2,,,4,,,,,16,8,,,,,26,,,,,,8,,,,,,16,,,10,,,,28,,3,3,,
708,,,10,,4,,,,2,,3,,,2,2,7,1,,,,,,,,1,,,,,4,,22,,4,,4,16,,
709,,,,,,,5,1,2,,,,,,,,,,2,,2,,1,,,,,,,,,3,2,,,,4,,2
710,,,,,,,2,1,1,,,,1,,,,,,2,,,2,,,2,,,,,,,4,2,1,,1,,,2
711,,,,,,,2,3,21,8,,1,,,,,,,4,,1,10,1,,,,,,,,1,5,,2,,10,1,,2
712,,,,,,,8,2,4,,,,,,,,,,3,,1,3,,,,,,,,,1,8,,2,2,,1,,1
713,3,,11,3,,3,17,4,7,17,4,,16,,8,3,2,3,15,9,7,11,12,4,,,,8,,,5,19,19,10,14,6,8,8,12
714,,,,,,,18,6,,12,,6,,,,,5,,8,,,19,2,4,,,,,,,20,11,,10,,3,,9,
715,,,,,,,36,,10,,,,,,,,,10,16,,108,8,9,,,,,,,,18,36,,24,,49,,,
716,,,,2,,,,,56,30,16,,16,,,,36,,,,16,16,,,,,,,,,,40,11,,22,24,,36,
717,,,,,,,11,,7,16,,,,,,,,14,3,,5,3,,,,,,,,,,,3,11,6,6,1,1,
718,,,,,,,,,4,4,4,,,,,,,,8,,8,4,,,,,,,,,5,8,,2,,3,,,
719,,,,,,,5,,4,8,,,,2,,,,12,6,4,16,15,1,,,,,,,,4,,,10,,22,,,
720,,,,,,,11,,6,8,9,,,2,,,,2,,4,18,2,5,2,,4,,,,,14,2,4,1,4,,,3,3
721,,65,26,,,,10,,10,,,,,,10,,,10,,,,,,,,,42,,,8,,,10,,10,,,,
722,,,,,,,46,39,68,18,,,,,,,,3,45,12,41,7,22,,,,,,,,20,52,11,25,19,24,,24,141
723,,,,,,,60,23,25,32,8,3,,2,,,,,17,6,22,71,4,,2,,2,,,,35,90,20,15,,,,,2
724,20,,30,52,3,,,30,40,3,1,,,,,100,3,18,,140,105,50,,10,,,,,,,,,10,50,140,,,,10
725,20,,30,39,16,,,3,67,4,1,,,,,100,3,18,,140,105,50,,10,,,,,,,,,10,126,,20,,,48
726,,,,1,,,,,2,,,,,,,11,,,16,,,,5,5,,,4,,,6,,,,3,47,,,,6
727,,,6,,,,,7,,,,,6,8,,13,,,4,1,5,6,,,,,,6,3,,,,4,8,2,,,2,7
728,,,,,,3,,6,20,3,,,,,6,15,6,,4,6,9,7,,,,,,,,,6,,,,,6,,6,
729,,12,,,,,,,9,12,,,,,,,,,,6,,,,,,,,,,,,1,1,12,,24,,,
730,2,,1,5,,,,1,5,4,,,1,2,,1,2,,,,4,9,,2,1,,3,5,2,,,,,2,2,1,,3,5
731,6,20,11,29,16,1,18,10,27,14,9,3,3,3,37,56,16,10,23,14,20,9,7,2,-2,2,23,37,3,11,11,21,5,10,5,3,1,9,23
732,5,21,26,50,33,4,29,23,22,34,14,13,7,2,38,91,37,17,23,11,16,16,20,2,2,,54,49,16,22,16,22,9,6,15,6,4,11,40
733,,6,10,2,,2,,8,9,4,,2,5,,2,14,2,,7,,18,3,,2,,1,8,,,,,,7,13,13,13,5,6,11
734,,2,1,,5,,,2,,,1,,,2,5,,,,,,1,,,,,,,2,,,,,,4,4,3,,1,
735,,,1,1,1,,1,,5,2,,,,,,,1,,,,1,2,,2,,,5,2,,,1,3,8,3,3,,3,2,2
736,1,2,12,4,2,,,3,7,8,,2,10,3,6,8,2,1,8,1,4,3,2,,,,6,1,6,9,,2,1,9,,,1,,5
737,2,18,20,20,1,1,,19,17,15,7,1,5,2,22,10,4,2,4,1,26,7,1,11,1,1,17,19,,,1,,6,3,,3,2,,4
738,3,6,17,13,7,10,4,12,6,17,,2,11,3,14,23,7,2,12,2,14,7,5,3,3,2,3,13,15,5,1,1,6,2,1,,3,3,1
739,4,27,35,39,11,2,2,11,34,23,6,3,4,6,38,25,23,5,15,4,40,15,5,8,2,4,28,11,5,,2,,3,2,,3,,,3
740,,4,,,,,1,,1,,,2,,,,,,1,,,,2,,,,,,2,,,,1,,1,,,,,
741,,1,1,,,2,,,,1,,1,,,,,,,,,2,,,,,,,4,,,,,3,1,,,1,1,
742,22,12,,2,,,1,16,25,112,10,14,62,4,4,10,4,,2,17,38,6,9,44,12,6,,,,,9,29,2,47,40,60,11,10,4
743,,3,2,1,,,1,,7,4,,,,,,1,1,1,1,,2,1,1,,,,4,,,,,2,,4,1,,1,2,
744,,6,2,2,,2,1,1,6,1,,6,,,1,3,1,,,,1,1,,3,,,3,5,,,,2,1,2,,1,,1,1
745,,1,,,,,,,1,,,,,,,1,,,,,1,,,,,,1,,1,,,1,,,1,,,1,
746,,4,,,,,,,7,5,,,2,,,,,,,,2,3,,1,,,2,2,,,,,2,6,,,2,1,4
747,,,3,3,5,,,,2,1,1,1,1,2,,3,,,1,1,1,1,,,1,,3,8,,,,,2,1,1,3,1,1,3
748,1,,4,1,,,,,2,,1,1,,,1,,,,,,2,2,,,,,,1,3,,,,,1,1,1,2,,1
749,1,3,4,5,1,1,,2,6,2,1,1,3,1,3,1,7,,2,3,5,3,2,1,,,2,3,1,,,1,2,1,,2,,4,4
750,,,1,1,1,1,,,2,1,1,,1,,1,3,1,,,,,1,,3,1,,,2,,,1,,,2,,5,,5,4
751,5,,,,,,40,,32,98,14,42,10,,,,,24,38,37,31,48,24,34,,,,3,,,16,18,40,124,29,40,,20,30
752,,,1,2,,,,,1,,2,,,,,1,,,2,,2,,2,,,,1,3,1,,,,,2,1,,,,1
753,,,,,,,,,5,,4,,,,,,,,,,2,4,,3,,,2,,,2,,,,5,2,1,,,
754,4,,4,,,,,4,2,,,4,2,,2,,,,,,,4,,,,2,2,,,2,3,,4,2,,2,4,1,4
755,,,5,,,,,,4,,,,,,10,,5,,,,2,,,,,,,2,,,,,,8,,,10,,4
756,,,,5,,,,,1,,,,1,,,4,,,,,12,,,,,,,,,,,,2,,,3,3,1,
757,,,,,,,52,32,16,72,22,18,1,,,,,24,47,49,45,55,48,1,,,,,,,58,21,5,11,,35,2,,
758,,,,,,,18,46,94,,1,5,,,,,,,2,,35,26,36,4,,,,,,,60,,,30,,,,,
759,1,,,,,,88,8,68,168,24,18,32,4,,,8,,56,66,224,178,4,2,2,,,,,,30,54,24,16,,32,,,14
760,,58,,1,,,1,4,16,16,,,3,,37,,6,,,,23,13,,,,,10,2,,,,,54,7,,,,56,71
761,1,41,,1,7,,6,3,28,12,12,2,5,5,4,,3,1,16,6,29,10,5,24,,,16,12,,30,16,42,,22,10,25,20,,16
762,,24,2,2,,,1,,3,7,1,26,,,3,4,,,,,11,2,,,,,,2,,,,,1,8,,,3,1,
763,,7,2,1,1,,,,2,,,,,1,,2,1,,,,2,1,,,,,1,,2,,1,,1,,4,5,1,,1
764,,3,1,,,1,,,1,2,,5,,,1,3,,2,1,,,5,,,,,1,,,,,,2,1,5,4,,1,
765,,2,6,4,,,,7,4,2,1,,,,4,2,3,,,,5,,4,2,,,2,3,1,,,3,2,3,,,,,
766,,,,,,,,,3,,,8,1,,,,,,,,3,1,,2,3,,,,,,1,1,5,1,,,,5,
767,,,,,,,,,6,5,,,,,,,,,4,,1,7,,,,,,,,,,,,,8,,,,
768,,3,2,7,4,1,,2,1,1,1,2,,1,,6,2,1,,1,3,2,1,2,,,2,3,,1,,,2,1,1,1,1,1,2
769,5,45,13,65,15,5,9,42,29,24,,35,8,1,20,45,46,6,4,10,51,41,37,3,1,2,26,64,40,,12,25,11,30,14,9,14,5,15
770,5,,2,2,,2,1,,7,1,,3,,,2,1,,1,2,,1,,,,,,2,2,,1,,1,2,7,,1,1,5,4
771,,,2,1,,,,,4,6,1,,,,1,,,,,,,,,,,,1,,,,,,,5,,1,1,4,1
772,6,61,77,26,7,18,1,42,163,-22,22,59,1,6,56,78,19,6,43,14,75,67,,19,5,18,67,62,6,,18,18,20,47,31,60,16,50,52
773,3,33,31,,1,11,1,6,47,19,7,31,10,2,10,23,,3,14,6,30,15,,2,,2,18,,,4,,,16,52,9,4,3,7,19
774,1,1,3,2,2,1,3,3,3,2,,1,3,,5,3,1,3,4,3,1,,1,1,4,2,3,1,2,,4,2,,5,1,,1,3,1
775,,,,,,,,,,1,1,,1,2,,,,,,1,1,,1,,,,1,1,,,,,,,,2,3,1,
776,140,420,544,207,82,263,65,143,394,191,2,144,278,120,643,404,131,,40,253,342,42,,142,15,,362,266,29,290,85,5,90,96,130,20,8,,193
777,,,,,,,,,10,,,,5,5,2,,3,2,2,,14,2,,,,,12,,,10,5,,,,10,3,8,,2
778,,,,,,1,,,1,2,5,,,,,,,,6,,,,,1,,,3,1,,1,,2,,3,,2,,,
779,,,,,,,,,,1,5,,,,,,1,,6,,,1,,,,,,1,,1,,,1,,,2,1,7,
780,4,2,38,20,5,48,46,94,159,136,20,,8,20,29,11,,8,,31,85,9,,26,2,40,39,20,2,28,23,,13,120,44,,23,42,24
781,1,10,10,19,3,,1,5,7,3,2,15,,2,5,11,11,,5,1,14,4,1,3,,,8,23,17,2,,,2,10,4,4,5,6,13
782,,13,45,,,,,,,,20,,,,90,,,,,,60,,,,,,2,-2,2,,,60,,,20,,5,9,
783,,18,12,60,,,7,62,86,35,2,24,12,10,69,73,2,68,4,22,62,52,,,21,24,58,75,,,16,44,28,18,12,61,19,156,17
784,4,,,,,,,1,,4,,2,1,1,,1,,,1,1,1,,4,1,3,1,1,2,,1,1,,,,2,3,1,1,
785,5,2,,,,,,2,1,1,4,16,11,9,,,,,4,5,1,5,3,7,7,2,,,2,1,10,,,3,1,7,2,1,
786,1,1,2,,,1,1,2,2,1,3,3,2,1,1,1,1,,,2,1,1,7,13,,,2,1,,,,,2,8,5,1,2,,
787,,,1,,,,,,3,,2,2,,,1,,,,2,,,,1,,1,,,,,,5,,,1,,,,,
788,8,4,,,,,1,3,,1,7,6,7,4,2,1,,6,6,4,6,4,5,15,5,2,9,,2,,4,,,13,19,5,3,1,
789,7,7,9,2,1,1,,1,3,8,4,7,7,11,3,4,,,1,5,10,6,3,4,10,9,8,2,1,,2,3,3,12,6,16,6,,5
790,,4,4,,,,,8,,9,16,,,,,,,,,4,12,20,,1,4,8,,,,8,,,1,,2,5,1,4,
791,3,3,2,,1,,,,,23,4,19,9,17,,2,,2,2,14,,,2,,4,,2,,,,4,,1,24,31,1,2,20,6
792,,,,,,,,,1,2,2,1,1,,,,,,,,1,,1,3,,,2,,,,1,,,2,2,1,,,1
793,,,,,,,,,3,,,1,1,1,1,2,,2,1,,1,,,,,,,2,,1,1,1,,,1,,1,1,
794,,,1,,,2,2,9,40,8,2,,,,,6,4,13,4,16,26,3,2,,2,,2,1,,,,17,17,30,,3,5,9,
795,2,2,2,10,3,3,10,10,59,21,3,2,1,5,4,8,17,11,8,18,33,2,1,4,2,4,5,2,9,2,8,21,20,18,11,,,6,2
796,,,4,,,,1,5,,,2,,2,,2,,,,4,4,2,,,,,,10,,,,4,1,2,,,,,6,2
797,8,,1,3,,,,8,21,23,5,,10,4,4,,,,,,,,8,,26,,,,,,,,9,43,35,7,,,1
798,19,2,5,3,,,6,6,2,18,9,4,7,1,3,5,,,2,4,26,6,8,18,2,,4,,,3,10,4,2,7,8,14,8,2,6
799,,3,,1,2,1,,2,,,1,5,,2,4,,1,,,,,,3,9,,3,,,,,,,,2,2,18,,,
800,6,3,,,,,,,1,2,2,2,,,1,,,,6,6,1,,2,2,8,,,,,4,,4,2,5,3,4,1,,3
801,,1,,,,,,,,,1,3,,,,,,,,2,,,3,11,1,,,,,,1,,,1,1,1,2,,
802,2,2,,,,,,,,,1,2,,,1,,1,,,,,,1,1,2,,,,,,,,,2,,1,2,,
803,2,2,,,,,,,,,1,1,1,,2,,1,,,,,,1,1,1,1,,,,,,,,2,,1,3,,
804,5,2,2,,,,,,2,,4,3,3,2,,1,1,,,1,1,,5,5,6,1,1,,1,,1,1,,4,9,5,,,
805,53,9,3,9,,4,7,6,22,42,19,37,58,20,10,,1,3,3,24,13,13,26,22,33,8,7,,,1,9,,13,12,6,35,13,1,1
806,12,3,2,2,,1,,,9,4,6,8,10,6,1,,,,,5,3,2,3,8,1,9,5,,,,3,,2,,1,4,,5,1
807,10,4,1,3,1,,,,2,3,10,3,2,10,2,3,,3,,2,2,1,1,7,3,5,4,2,,,3,1,1,1,11,4,2,,1
808,4,2,2,3,,,,,,1,,4,2,,,,1,1,1,1,,,2,1,3,3,1,1,2,,,,1,4,4,2,,,
809,1,,,,,,1,,,1,,1,1,,,1,,,2,,,,,,,,,,,,1,,,,4,1,,,1
810,2,,2,,,,,,,,,,2,,,,,1,,,2,,,,4,,1,,2,,,,,1,3,,,1,
811,4,,,2,6,,,,,,,12,,15,-2,,,4,,,18,,,,,6,,1,,1,2,28,,24,,27,8,7,6
812,1,,8,1,10,,,,,,,12,11,14,-4,,,4,,,22,,,,1,,4,,1,,8,,,24,,41,20,6,5
813,4,4,6,,,,,,,,,4,4,11,,,4,,,6,6,3,6,4,,,4,1,3,3,,4,,8,14,,,,
814,28,19,7,14,,8,8,12,20,20,87,60,51,22,6,4,2,2,14,40,54,12,22,38,28,19,11,6,4,12,35,14,20,44,22,25,5,,4
815,15,3,,1,,,2,,1,4,2,5,5,2,1,1,,,3,2,4,1,1,,4,,2,,1,,5,4,1,4,4,1,1,1,1
816,1,,,,,,1,,,1,,3,1,,,1,,,,,,,,1,,1,,,,1,1,,,,1,1,1,,
817,9,3,3,,1,,,1,2,1,7,10,9,6,1,1,5,,,2,17,3,7,9,16,4,7,4,2,3,6,4,5,8,11,18,1,,3
818,209,60,39,41,24,12,15,24,73,69,101,139,208,65,24,10,14,23,37,49,110,21,111,130,92,13,16,10,13,10,54,18,34,61,52,132,34,9,11
819,,1,1,1,,,,,1,,1,,1,,2,,,,,,6,,,1,,,1,,,,,1,,1,,5,3,2,1
820,1,1,,,,,,1,1,10,1,,,,1,,,,1,1,,,2,1,2,,,,,,,1,1,1,1,3,3,2,3
821,8,2,1,2,4,,5,5,8,9,26,17,18,1,,5,,,3,12,10,3,7,12,15,2,3,1,2,7,7,2,10,13,26,29,6,1,2
822,6,1,1,4,,,4,1,2,1,25,14,8,1,2,,,,,5,25,1,4,7,9,,2,,2,,5,5,,2,30,8,2,,3
823,,,,,,,,,,,5,1,,2,1,,,,,1,,,,5,,1,5,,,,4,,,3,5,,,1,
824,,,,,,,10,3,11,3,2,,,,,,,,4,,2,9,3,1,-1,,,,,,4,17,,,8,,,,
825,11,9,6,4,1,1,,1,5,4,11,10,6,13,3,7,1,1,3,3,10,4,6,7,8,10,6,8,2,3,2,3,2,13,7,16,4,,
826,7,1,2,,,,,,3,5,,4,4,2,1,,,,1,3,10,,,2,12,2,13,,,,,1,1,4,9,4,1,,5
827,20,6,1,3,,,,,8,4,39,28,7,13,,3,,4,6,16,14,2,17,32,10,18,9,,,5,8,2,2,3,20,23,17,1,6
828,17,2,5,9,4,2,,6,19,1,28,16,15,12,6,5,10,,4,8,35,3,11,17,12,15,3,1,2,3,8,10,1,9,48,10,3,,7
829,8,7,,,,,,,1,1,4,8,8,,2,,,2,10,3,,2,,5,2,1,1,3,,,4,,2,6,15,7,1,,4
830,9,,,,,,,,1,4,,9,13,1,2,,,1,1,4,,2,2,10,4,1,1,4,,,5,1,2,3,15,8,1,,4
831,7,1,2,4,5,,,3,2,2,8,5,6,5,1,2,,,3,1,7,3,4,2,8,1,3,4,,2,,3,3,7,3,19,1,,1
832,3,,,1,1,1,,1,,4,3,2,4,3,,,,,,,10,,2,3,9,1,3,1,,2,1,,,6,1,17,1,1,
833,6,,,2,,,1,6,12,,24,2,11,6,,3,,2,4,9,4,,14,8,,4,,,,,2,,,12,30,4,6,,2
834,,,,,,,,,,,6,,,,2,,,,,2,4,,2,,,,2,,,,,3,2,,2,4,,,
835,6,1,,,,,,,,2,2,,,,,,1,,,2,2,,4,2,1,,1,,,1,,2,,,,5,,2,
836,6,1,3,4,,,3,3,3,9,12,1,4,1,,2,1,,3,4,3,2,2,6,2,,1,,,1,4,,1,8,8,4,6,4,
837,2,,,4,,2,,7,,4,6,8,18,1,1,,,2,1,3,,4,3,9,3,3,5,,1,1,,5,1,5,4,12,5,,
838,4,,,,,,,,,4,2,4,,,,,,,,,,,2,2,2,,,,,,6,5,3,,,,4,,2
839,20,8,1,,,,10,4,8,7,6,16,17,8,2,1,,,10,17,20,2,9,14,6,4,4,,,2,8,8,4,6,33,10,4,1,
840,8,2,1,5,,2,3,,7,17,20,16,11,5,2,1,,,7,11,19,5,9,12,8,9,3,6,,1,13,9,4,11,21,7,2,,
841,2,4,4,1,2,,,,2,2,4,,4,10,4,1,,,,,1,,3,5,11,5,3,1,,,3,,1,,6,,,,
842,2,4,,,,,,,,,,3,,,,1,,,,,,,,,3,,,3,,,,,,,,,1,1,2
843,15,,3,5,,,,1,6,18,8,22,16,7,2,1,2,4,5,14,13,5,16,21,16,4,2,2,,2,9,1,1,7,7,3,8,,2
844,2,,4,,,2,4,,8,3,22,7,12,9,,6,,2,,4,10,,,22,8,5,3,,1,,,21,4,8,34,6,,,
845,3,,,1,,,,,2,2,3,,,2,1,,,,,3,,,,,2,,,,,,3,,1,,2,1,1,1,1
846,,3,1,,,,3,,,,5,5,6,3,,,,,,,,,1,4,,,6,,,,,,7,,4,1,2,,
847,3,,1,1,,,,1,4,,2,4,6,6,3,3,,,,3,2,,2,5,,4,4,,,,,3,2,2,4,5,2,4,2
848,2,2,1,1,1,,,,1,4,2,5,1,2,,1,,,,1,1,,,2,2,1,4,,,,,1,,,,3,2,1,1
849,8,,2,1,,1,2,,4,20,5,5,2,,1,1,,,2,3,10,,1,3,1,4,2,,,,9,1,5,1,5,7,5,6,1
850,1,,,1,,,,,,5,,1,3,2,,,,,,,,,2,,,,2,,,,1,,,,3,,3,,
851,1,,,,,,,,,10,2,2,2,2,,,,,,,8,,2,1,,,2,1,,,1,,,,2,6,3,3,
852,,,,,,,1,,2,,1,2,2,2,,,,,,1,,,,3,,,,,,,1,1,,,3,,1,1,
853,4,,,2,,,,1,1,7,2,2,4,1,1,2,2,,,2,,,1,,1,,1,,,,2,1,2,4,7,2,4,1,1
854,,,,,,,,1,,,3,2,1,,,,,,,,,,1,,,,1,,,,1,,,,3,1,,,
855,7,,,,,,1,2,4,8,3,9,9,,,,,2,1,6,,1,3,7,4,,5,1,,,4,1,,1,12,3,3,,
856,40,14,6,5,,3,3,3,6,14,10,13,29,18,7,6,1,6,11,14,12,14,9,10,40,3,2,1,,7,6,,1,14,9,2,4,1,
857,,,,2,,,,,,,2,2,,2,,1,,,,5,,2,1,,,1,1,,,,,1,,3,4,2,,,1
858,2,1,,,,,,,,,,,3,,,,,,2,1,2,,1,2,,1,,1,,,,,,,4,1,2,,
