Артикул,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.01.2021,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.04.2022,01.05.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023
47,,,,,,,,,,,,,,,,30,,,,,,,54,,10,,,,,,,,,,8,,66,,
48,12,,1,,,,,,,,1,,62,,,,1,,,1,,,,,,,,,3,,,,,3,,,3,3,
49,,5,,,,,,,,2,2,,,2,,,,,,4,,,,,2,,4,,2,,,2,2,,2,,2,,
50,28,,4,,,,,,12,2,18,44,12,,2,,,,,10,4,,,4,12,,,,,,,,8,,5,,4,4,
51,4,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,8,,2,2,,
52,1,8,24,32,32,44,,8,40,32,60,34,16,49,26,65,16,2,18,54,75,9,16,9,1,32,-8,18,16,8,,18,24,34,16,16,16,8,16
53,,,,,,,18,12,48,57,12,,,,2,2,,,,,48,,12,,,,,,,12,,,1,70,,,,24,12
54,,108,,25,,1,5,,130,130,,,150,,,,,,,,230,,,,,,75,,,,,50,,154,330,,,,
55,12,68,,56,,,98,14,2,28,18,44,,52,40,14,,28,,48,26,,,22,28,12,3,,,28,,,56,68,42,75,12,73,
56,139,218,195,146,174,207,359,243,465,229,287,321,183,218,308,175,171,221,356,265,342,124,54,194,13,7,81,114,30,76,129,27,195,261,144,167,140,42,106
57,9,1,3,1,4,,,,7,2,3,3,5,7,2,2,4,,1,,4,,,1,5,2,1,4,,,,,6,18,4,1,,3,
58,160,474,204,335,340,271,744,310,284,214,120,396,240,232,360,274,338,271,506,270,560,56,190,44,160,,130,212,2,,92,30,75,30,90,30,238,62,84
59,486,272,,130,148,122,164,202,266,30,60,56,296,172,190,96,66,203,694,156,114,,,138,130,,142,60,,36,90,,86,56,,150,30,30,30
60,,6,,,,,,,,4,2,,,2,,,,,,4,,,,2,4,,2,-2,2,,,2,2,6,2,21,2,,
61,10,230,634,333,252,170,177,193,421,259,87,20,112,90,193,446,219,143,357,105,288,279,30,95,7,15,467,535,76,184,130,70,204,259,251,20,39,329,434
62,,,,,,,,,,2,,2,,,,,,,,2,,,,,,,1,,,,,,,,,1,3,,1
63,21,63,28,28,56,,12,55,14,,20,58,29,2,44,,,,,,,,,50,,10,28,16,52,91,7,,,14,,,56,,7
64,,36,80,,50,,,,,51,120,,,130,100,,,100,1,,,,100,140,,,,,60,,,,141,378,315,34,,,280
65,,6,4,14,8,,2,2,2,,4,,11,8,9,12,8,,,,12,,,,12,8,,10,,5,,,,23,,9,52,2,2
66,,,90,78,12,,,20,81,62,,6,26,20,84,46,,72,70,1,,10,,,,,60,31,60,,,40,5,,2,,,20,
67,,2,,2,,,4,,,1,,2,,1,3,,1,,,3,1,,1,1,1,3,1,,3,1,2,2,9,3,,,,,
68,2,1,,,6,,2,12,12,8,1,,,7,2,8,4,,8,6,14,11,2,4,,4,,2,4,2,,10,11,6,6,4,10,2,4
69,2,,,,,,,,,4,,1,1,,,,,,,1,,,,,,,,,,,1,2,,6,2,,,2,2
70,2,7,,8,6,3,2,,17,1,2,,4,10,83,10,7,3,,,8,,,,,1,13,15,4,2,2,,18,23,,5,2,14,6
71,10,226,527,316,175,136,185,187,443,289,45,20,50,55,376,361,134,69,301,78,258,266,30,85,7,8,399,354,101,171,95,46,98,166,201,20,19,105,90
72,10,,,,,,,,,,,20,4,,,,,,,8,,,,,12,,,,,,4,,,,8,1,,,
73,2,2,,,3,1,4,3,3,1,2,2,1,1,3,5,2,1,3,5,3,,3,,1,1,2,1,1,1,,4,3,4,4,2,1,1,2
74,,8,10,13,31,,2,1,52,,2,1,53,62,,281,,108,8,1,50,1,81,,52,,1,10,,,51,1,,21,443,50,87,,6
75,39,7,9,98,14,20,1,,2,,118,2,56,24,157,298,,,14,201,4,8,69,101,120,32,16,118,8,1,16,,7,187,23,11,90,3,186
76,,,,16,4,,,,,36,39,24,18,,27,48,,,,12,,,52,10,10,,,16,,,,,,24,,8,10,4,8
77,,,,,1,1,1,,,1,,,2,,2,,,,,,,1,,,,,,1,1,,,,1,1,,,,,
78,,,,,24,,24,2,36,24,,,,,,,,,36,24,28,96,,,24,,24,,,,,,25,15,,1,,,
79,1,1,,,,,,,13,,2,,3,,,,,,,2,22,,,1,,,,,,,2,,16,2,,8,1,,5
80,6,1,4,,,,,5,3,7,4,12,4,16,,,,,6,10,6,13,,12,,41,,,,5,6,9,8,37,,15,11,2,
81,3,5,2,,,3,,9,,1,5,1,1,7,3,,3,1,4,3,12,6,4,1,1,,1,,,,67,1,12,19,1,,,4,
82,4,2,1,4,2,4,2,5,20,3,,,2,3,,4,,4,4,,15,9,4,1,,,16,,,1,,2,2,2,,,,4,
83,2,,,2,,,11,6,67,4,9,2,26,1,247,41,,,,5,5,5,4,2,,4,,40,,,,,2,204,16,9,4,,30
84,46,33,83,34,23,2,41,56,176,87,37,16,14,60,42,68,20,30,12,26,75,157,26,20,51,2,64,34,1,46,19,59,33,88,47,31,20,5,4
85,3,54,15,12,12,11,1,19,46,20,28,2,46,22,12,7,3,,20,18,30,14,8,8,21,15,10,4,3,18,6,21,99,73,24,9,22,14,6
86,12,2,10,10,17,,44,24,25,34,48,16,11,8,16,10,10,8,24,19,24,,11,1,26,,8,8,8,4,8,16,12,6,13,14,24,,
87,,4,,2,,2,6,2,6,12,2,8,,2,2,2,2,,,2,4,2,4,2,,,2,-2,2,,,8,15,8,2,,2,,6
88,59,32,,11,10,4,15,16,64,22,47,61,80,30,22,5,11,10,10,32,20,2,54,89,63,20,10,10,11,-1,80,20,41,25,47,144,68,29,14
89,379,106,215,12,33,65,58,116,277,309,832,458,1232,473,356,300,14,16,88,511,246,24,413,795,195,290,147,25,12,10,309,184,35,301,967,376,503,112,61
90,36,3,4,,,,,,16,4,15,54,22,2,3,,,,,10,6,,8,6,18,4,,,,,,16,8,12,4,6,12,6,
91,143,40,32,34,6,5,18,38,103,45,189,120,320,130,8,2,9,,33,164,84,83,190,974,220,28,44,25,33,46,29,11,9,231,158,149,99,116,8
